  PLAYER TEAM AGE GP W L MIN OFFRTG DEFRTG NETRTG AST% AST/TO AST RATIO OREB% DREB% REB% TO RATIO EFG% TS% USG% PACE PIE POSS
122 Stephen Curry GSW 36 60 34 26 32.8 118.0 116.7 1.2 23.1 1.67 16.7 1.5 11.4 6.5 10.0 57.4 61.8 30.5 102.38 13.8 4220
122 Tobias Harris PHI 31 60 35 25 33.8 117.7 113.1 4.6 13.6 2.36 16.4 3.2 15.1 9.1 6.9 53.5 57.8 20.1 99.32 11.4 4198
122 Victor Wembanyama SAS 20 60 14 46 29.0 107.5 111.4 -3.9 19.7 1.01 13.9 7.3 27.4 17.3 13.7 51.9 56.5 30.8 103.63 16.0 3760
138 Aaron Nesmith IND 24 59 33 26 27.2 119.1 116.1 3.0 6.7 1.62 12.2 3.2 10.6 7.0 7.5 62.1 64.1 16.1 102.65 7.5 3429
138 Alex Caruso CHI 30 59 29 30 27.8 110.8 109.6 1.1 15.7 2.26 24.5 3.2 10.2 6.8 10.8 58.7 60.8 14.8 99.34 8.8 3390
138 Bennedict Mathurin IND 21 59 33 26 26.1 115.0 117.9 -2.9 10.5 1.23 12.2 3.8 11.3 7.5 10.0 50.7 56.2 22.6 103.79 8.7 3329
138 Clint Capela ATL 29 59 27 32 25.4 114.9 116.6 -1.7 6.2 1.20 9.7 16.2 22.6 19.2 8.1 56.4 58.6 16.6 102.33 11.9 3192
138 David Roddy PHX 22 59 20 39 19.6 104.1 113.6 -9.5 10.0 1.33 13.5 4.2 13.4 8.6 10.1 46.5 48.7 17.8 101.09 6.7 2435
138 Dorian Finney-Smith BKN 30 59 23 36 28.5 111.4 112.6 -1.2 7.6 1.80 14.9 5.6 10.5 8.0 8.3 54.8 55.7 13.4 98.57 6.4 3445
138 LeBron James LAL 39 59 31 28 35.2 116.3 114.2 2.1 35.1 2.46 25.5 2.6 17.0 10.2 10.4 59.0 62.0 28.5 101.39 16.5 4391
138 Luka Doncic DAL 25 59 36 23 37.4 119.9 116.0 3.9 42.7 2.46 23.7 2.2 21.2 11.8 9.6 57.6 62.1 35.5 101.09 20.2 4654
146 Alec Burks NYK 32 58 14 44 19.3 107.9 118.7 -10.8 11.3 1.86 11.2 1.9 9.9 5.8 6.0 48.8 54.6 23.4 101.05 8.9 2358
146 Brandin Podziemski GSW 21 58 30 28 27.1 118.1 111.3 6.8 18.5 3.09 27.9 5.5 14.8 10.1 9.0 52.4 53.5 15.3 100.79 9.5 3310
146 De'Aaron Fox SAC 26 58 34 24 35.7 117.6 114.0 3.6 24.2 2.14 17.8 2.4 9.9 6.0 8.3 53.5 56.8 30.3 102.73 12.4 4424
146 Dillon Brooks HOU 28 58 28 30 31.2 112.3 112.8 -0.4 7.6 1.31 11.6 2.4 8.4 5.4 8.9 52.5 55.9 17.5 99.93 5.9 3759
